site_id,species,life_form,spines,leaf_type,growth_form_1,growth_form_2,growth_form_3,growth_form_4,growth_form_5,growth_form_mode,biomass_density_1,biomass_density_2,biomass_density_3,biomass_density_4,biomass_density_5,biomass_density_mode,leaf_length_1,leaf_length_2,leaf_length_3,leaf_length_4,leaf_length_5,leaf_length_mean,leaf_width_1,leaf_width_2,leaf_width_3,leaf_width_4,leaf_width_5,leaf_width_mean,plant_height_1,plant_height_2,plant_height_3,plant_height_4,plant_height_5,plant_height_mean
addo_jack_in,Cadaba aphylla,f,n,a,surf,surf,suclf,surf,surf,surf,m,m,m,l,l,m,1.2,0.5,0.7,,,0.8,0.4,0.1,0.2,,,0.2333333333,61,161,160,163,150,139
addo_jack_in,Cynanchum viminale,f,n,a,clf,clf,clf,clf,clf,clf,m,l,m,l,l,l,,,,,,#DIV/0!,,,,,,#DIV/0!,322,430,226,340,421,347.8
addo_nyathi_full_in,Cynanchum viminale,f,n,a,clf,clf,clf,clf,clf,clf,l,l,l,l,l,l,,,,,,#DIV/0!,,,,,,#DIV/0!,300,310,370,188,320,297.6
addo_jack_out,Cynanchum viminale,f,n,a,clf,rf,clf,clf,clf,clf,h,l,h,m,m,m,,,,,,#DIV/0!,,,,,,#DIV/0!,250,60,231,156,300,199.4
addo_nyathi_full_in,Asparagus crassicladus,f,<2,li,mf,mf,mf,mf,mf,mf,h,h,m,m,m,m,3,3,3.5,3.6,4,3.42,0.1,0.1,0.1,0.1,0.1,0.1,38,45,47,77,30,47.4
knp_nkuhlu_full_out,Aristida adscensionis,g,n,li,sg,sg,sg,sg,,sg,l,l,l,l,,l,13,17,25,21.5,,19.125,0.2,0.2,0.2,0.3,,0.225,20,40,53,58,,42.75
knp_nkuhlu_full_out,Aristida bipartita,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,7,11,5,8,9,8,0.3,0.3,0.3,0.2,0.4,0.3,20,30,25,21,29,25
addo_nyathi_full_out,Asparagus crassicladus,f,<2,li,mf,mf,mf,mf,mf,mf,l,l,l,l,l,l,2,2.5,2.5,3,2.5,2.5,0.1,0.1,0.1,0.1,0.1,0.1,52,100,90,78,68,77.6
addo_jack_in,Asparagus crassicladus,f,<2,li,mf,mf,clf,clf,clf,clf,l,m,m,m,m,m,3.5,1.2,3,1.5,3.4,2.52,0.1,0.1,0.1,0.1,0.1,0.1,22,48,170,60,172,94.4
addo_nyathi_full_in,Asparagus densiflorus,f,n,li,clf,clf,clf,crf,sf,clf,l,l,l,l,l,l,1.5,1,1.3,1.5,1.2,1.3,0.1,0.1,0.1,0.1,0.1,0.1,138,13,40,55,35,56.2
addo_nyathi_full_in,Asparagus subulatus,f,n,li,clf,clf,clf,clf,clf,clf,l,l,l,l,l,l,2,2.7,3,4,2,2.74,0.1,0.1,0.1,0.1,0.1,0.1,155,130,26,141,37,97.8
addo_nyathi_full_out,Asparagus subulatus,f,n,li,mf,mf,mf,mf,mf,mf,l,l,l,l,l,l,4,2.5,4,3.5,3.5,3.5,0.1,0.1,0.1,0.1,0.1,0.1,48,64,50,16,51,45.8
knp_satara_out,Bothriochloa insculpta,g,n,li,rt,rt,rt,rt,rt,rt,m,m,l,l,l,l,12.7,12.5,12.8,18,14,14,0.5,0.5,0.6,0.5,0.6,0.54,55,61,60,62,54,58.4
knp_roan_in,Cenchrus ciliaris,g,n,li,at,at,at,at,at,at,m,eh,eh,eh,eh,eh,13.5,25,24.5,25,30,23.6,0.3,0.7,0.6,0.6,0.9,0.62,53,93,88,82,95,82.2
pnr_in,Cenchrus ciliaris,g,n,li,at,at,at,at,at,at,eh,eh,eh,eh,eh,eh,22,29,16,17,15,19.8,0.5,0.6,0.5,0.7,0.5,0.56,53,72,80,75,72,70.4
knp_satara_out,Cenchrus ciliaris,g,n,li,at,at,at,at,at,at,l,l,l,l,l,l,24,25.2,20,28.7,23,24.18,0.8,0.7,0.6,0.8,0.7,0.72,80,87,90,100,84,88.2
knp_satara_in,Cenchrus ciliaris,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,29,24.6,22,23.5,16,23.02,1,0.7,0.7,0.7,0.5,0.72,110,95,74,89,100,93.6
knp_roan_out,Cenchrus ciliaris,g,n,li,rt,at,at,at,at,at,m,m,m,m,l,m,16,18,15,12.5,13.5,15,0.6,0.5,0.6,0.7,0.5,0.58,36,50,61,63,44,50.8
knp_nkuhlu_full_out,Chloris virgata,g,n,li,sg,sg,,,,sg,l,l,,,,l,7.5,7,,,,7.25,0.3,0.5,,,,0.4,30,40,,,,35
addo_jack_out,Cynodon dactylon,g,n,li,cg,cg,cg,cg,cg,cg,h,h,h,m,h,h,6,6.5,3.6,6.5,6,5.72,0.4,0.3,0.3,0.3,0.5,0.36,10,9,10,15,16,12
addo_nyathi_full_out,Cynodon dactylon,g,n,li,cg,cg,cg,cg,cg,cg,m,h,m,m,m,m,5.1,7.2,5.6,3.7,6.5,5.62,0.4,0.3,0.3,0.2,0.3,0.3,14,9,17,18,15,14.6
knp_nkuhlu_full_in,Cyperus cyperoides,g,n,li,rt,,,,,rt,l,,,,,l,30,,,,,30,0.4,,,,,0.4,17,,,,,17
knp_nkuhlu_full_out,Cyperus cyperoides,f,n,li,sf,sf,sf,,,sf,l,l,l,,,l,6,7,7,,,6.666666667,0.3,0.1,0.2,,,0.2,42,23,25,,,30
knp_nkuhlu_full_in,Cyperus dubius,g,n,li,rt,,,,,rt,l,,,,,l,20,,,,,20,0.3,,,,,0.3,11,,,,,11
knp_nkuhlu_full_out,Cyperus rupestris,g,n,li,rt,,,,,rt,l,,,,,l,14,,,,,14,0.1,,,,,0.1,10,,,,,10
knp_roan_in,Digitaria eriantha,g,n,li,at,at,sg,sg,at,at,m,l,l,l,m,l,30,20,28,25,28,26.2,0.9,0.8,1,1,1.5,1.04,105,80,100,85,80,90
knp_nkuhlu_full_in,Digitaria eriantha,g,n,li,sg,rt,sg,sg,sg,sg,l,l,l,l,l,l,18,54,46,47,42,41.4,0.8,0.4,0.4,0.3,0.4,0.46,50,40,42,23,42,39.4
knp_nkuhlu_full_out,Digitaria eriantha,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,14,24,17,13,16,16.8,0.5,0.5,0.6,0.5,0.8,0.58,20,30,12,20,18,20
knp_roan_out,Digitaria eriantha,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,19,15,31,15,17,19.4,0.4,0.9,1,1,1.1,0.88,60.2,50,53,70,61,58.84
knp_satara_out,Digitaria eriantha,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,30,20,17.5,17,17.5,20.4,0.6,0.8,0.7,0.6,0.7,0.68,78,36,50,93,64,64.2
knp_roan_in,Enneapogon cenchroides,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,16,22,12,10,18,15.6,0.4,0.5,0.3,0.4,0.4,0.4,41,55,67,70,81,62.8
knp_roan_out,Enneapogon cenchroides,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,16,10,11,11,16,12.8,0.5,0.4,0.4,0.3,0.5,0.42,25,45,40,42,50,40.4
addo_nyathi_full_in,Enneapogon scoparus,g,n,li,cg,,,,,cg,l,,,,,l,10,,,,,10,0.1,,,,,0.1,5,,,,,5
knp_nkuhlu_full_out,Eragrostis cylindrifolia,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,7,15,22.5,13,20,15.5,0.3,0.5,0.5,0.4,0.3,0.4,20,25,25,39,30,27.8
knp_nkuhlu_full_out,Eragrostis superba,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,13.5,15,12,12,7.5,12,0.5,0.7,0.4,0.5,0.4,0.5,50,50,34,50,44,45.6
pnr_in,Heteropogon contortus,g,n,li,lg,,,,,lg,h,,,,,h,18,,,,,18,0.5,,,,,0.5,71,,,,,71
knp_nkuhlu_full_in,Heteropogon contortus,g,n,li,rt,rt,rt,rt,rt,rt,l,l,l,l,l,l,20,14,14,22,22,18.4,0.5,0.5,0.4,0.6,0.5,0.5,92,90,70,110,90,90.4
knp_roan_in,Heteropogon contortus,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,21,23,22,24.5,14,20.9,0.3,0.3,0.4,0.5,0.3,0.36,85,83,70,60,45,68.6
knp_roan_out,Heteropogon contortus,g,n,li,sg,sg,sg,rt,rt,sg,l,l,l,l,l,l,20,14,28.5,21.7,17.5,20.34,0.5,0.4,0.4,0.5,0.5,0.46,30,49,31,52,46,41.6
knp_satara_out,Heteropogon contortus,g,n,li,sg,sg,at,sg,sg,sg,l,l,l,l,l,l,22,17.2,22.5,15.5,23.5,20.14,0.3,0.4,0.5,0.4,0.5,0.42,50,65,70,65,70,64
pnr_out,Heteropogon contortus,g,n,li,sg,,,,,sg,l,,,,,l,12,,,,,12,0.4,,,,,0.4,17,,,,,17
knp_satara_out,Ledebouria cooperi,f,n,li,rf,rf,rf,rf,rf,rf,l,l,l,l,l,l,45,37,31,30,42,37,2.6,3.2,2.2,2.4,1.6,2.4,38,22,32,12,41,29
knp_roan_out,Panicum coloratum,g,n,li,sg,sg,sg,sg,,sg,l,l,l,l,,l,16,15,15.5,27,,18.375,0.6,0.6,0.6,1,,0.7,60,57,41,53,,52.75
knp_satara_in,Panicum coloratum,g,n,li,sg,sg,sg,sg,rt,sg,l,l,l,l,m,l,29.5,10.5,18.5,15.5,26.5,20.1,0.7,0.5,0.9,0.5,0.8,0.68,70,70,65,70,75,70
knp_satara_out,Panicum coloratum,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,14,21,18.5,18.1,17.2,17.76,0.5,0.7,0.5,0.6,0.7,0.6,71,88,26,80,70,67
pnr_out,Panicum coloratum,g,n,li,sg,sg,,,,sg,l,l,,,,l,15,15,,,,15,0.6,0.5,,,,0.55,60,62,,,,61
knp_roan_in,Panicum coloratum,g,n,li,sg,sg,sg,sg,sg,st,l,l,l,l,l,l,15,17,20.5,19.5,2.7,14.94,0.5,0.5,0.6,0.7,0.6,0.58,80,72,70,80,81,76.6
pnr_in,Panicum coloratum,g,n,li,rt,rf,rt,rt,rt,rt,m,m,m,m,m,m,26,19,23,21,27,23.2,1.1,0.8,1.1,0.8,1.3,1.02,34,33,28,25,24,28.8
addo_nyathi_full_in,Panicum deustum,g,n,li,rt,rt,rt,rt,rt,rt,h,m,m,h,h,h,44,22,45,25,24,32,0.5,0.5,0.4,1,0.7,0.62,45,32,40,38,23,35.6
addo_nyathi_full_out,Panicum deustum,g,n,li,sg,rt,rt,rt,rt,rt,l,l,l,l,l,l,26,19,33,36,34,29.6,2,2.6,2,1.7,2.2,2.1,46,44,33,45,49,43.4
addo_jack_in,Panicum deustum,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,9.3,10.5,10,15,23,13.56,0.6,0.5,0.4,1.8,1.5,0.96,12,31,32,49,60,36.8
pnr_in,Panicum deustum,g,n,li,lg,lg,lg,lg,lg,lg,m,m,m,m,m,m,15,15,21,16,15.5,16.5,1,0.8,1.1,1.1,1.2,1.04,40,98,82,91,100,82.2
addo_jack_out,Panicum deustum,g,n,li,sg,sg,rt,rt,rt,rt,l,l,m,m,m,m,29,25,13,23,22.5,22.5,1.5,1.6,1.8,2,1.5,1.68,40,23,22,11,15,22.2
pnr_out,Panicum deustum,g,n,li,sg,,,,,sg,m,,,,,m,32,,,,,32,1.7,,,,,1.7,91,,,,,91
pnr_in,Panicum maximum,g,n,li,lg,lg,lg,lg,lg,lg,eh,eh,eh,eh,h,eh,21,27,13,24,26,22.2,1.8,1.5,1.5,1,1.6,1.48,81,68,81,83,120,86.6
pnr_out,Panicum maximum,g,n,li,sg,rt,lg,lg,lg,lg,m,l,h,h,h,h,8,14,51,29,39,28.2,1.8,0.6,1.5,1.4,1.5,1.36,73,44,91,82,85,75
knp_nkuhlu_full_in,Panicum maximum,g,n,li,rt,rt,rt,rt,rt,rt,l,l,m,m,l,l,27,30,21,24,23,25,1,1,0.9,1.1,0.8,0.96,50,60,90,85,74,71.8
knp_nkuhlu_full_out,Panicum maximum,g,n,li,rt,rt,rt,rt,rt,rt,l,l,l,l,l,l,30,12,6.5,20.5,24,18.6,1,0.8,0.5,0.9,1,0.84,70,62,50,55,66,60.6
knp_roan_out,Panicum maximum,g,n,li,rt,rt,rt,rt,rt,rt,m,m,l,l,l,l,11,21,31,32,35,26,1.1,1.2,1.1,1,1.1,1.1,70,90,91,75,80,81.2
knp_satara_in,Panicum maximum,g,n,li,rt,rt,rt,rt,rt,rt,l,h,m,l,l,l,33.5,33,20,40,20,29.3,1.2,1.5,0.9,1.5,0.4,1.1,57,60,70,65,75,65.4
addo_jack_out,Panicum maximum,g,n,li,rt,rt,sg,sg,sg,sg,m,m,l,l,l,l,15,11,25,13,16,16,0.8,0.7,1.1,1,1,0.92,13,14,18,16,18,15.8
addo_nyathi_full_in,Panicum maximum,g,n,li,sg,sg,sg,rt,sg,sg,l,l,l,l,l,l,12,8,6,7.5,5,7.7,0.7,0.3,0.4,0.5,0.5,0.48,33,34,19,26,36,29.6
addo_nyathi_full_out,Panicum maximum,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,14.5,15,15,12,22,15.7,1,1.2,0.8,1.2,1,1.04,22,10,28,32,21,22.6
knp_satara_out,Panicum maximum,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,m,m,l,37.5,35.3,29.3,29.5,17.1,29.74,1.4,1.1,0.9,1.3,1.2,1.18,62,53,65,70,55,61
knp_roan_in,Panicum maximum,g,n,li,rt,lg,rt,lg,lg,lg,l,m,m,h,m,m,19,26.5,42.5,43,41,34.4,1.2,1,1.4,2,2,1.52,65,152,95,120,105,107.4
knp_nkuhlu_full_out,Poaceae sp. 1,g,n,li,sg,sg,,,,sg,l,l,,,,l,10,10.5,,,,10.25,0.4,0.3,,,,0.35,35,40,,,,37.5
knp_nkuhlu_full_out,Pogonarthria squarrosa,g,n,li,sg,sg,sg,at,at,sg,l,l,l,l,l,l,18,14.7,11.2,14,12,13.98,0.3,0.4,0.4,0.2,0.4,0.34,14,14,13,16,16,14.6
addo_jack_out,Sansevieria hyacinthoides,f,n,li,rf,rf,rf,rf,rf,rf,m,m,h,h,h,h,54,25,38,43,46,41.2,3.5,3,2,5.5,2,3.2,57,40,36,60,55,49.6
addo_nyathi_full_out,Sansevieria hyacinthoides,f,n,li,rf,rf,rf,rf,rf,rf,l,l,l,l,l,l,30,46,50,35,42,40.6,2.5,6,3.5,9,3.5,4.9,30,46,50,35,42,40.6
addo_jack_in,Sansevieria hyacinthoides,f,n,li,sf,rf,rf,sf,rf,rf,m,h,h,m,m,m,21.5,12.5,18,30,52,26.8,3,3,3.5,3.5,5,3.6,22,15,18,26,60,28.2
knp_roan_in,Schmidtia pappophoroides,g,n,li,at,sg,sg,at,at,at,l,l,l,m,l,l,13.5,9.5,16,10,9.5,11.7,0.3,0.4,0.5,0.4,0.4,0.4,65,58,40,50,42,51
knp_nkuhlu_full_out,Schmidtia pappophoroides,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,15,8,5,9.5,9,9.3,0.4,0.5,0.3,0.4,0.5,0.42,25,30,40,32,30,31.4
knp_roan_out,Schmidtia pappophoroides,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,6.5,6.8,17,18,10.5,11.76,0.5,0.5,0.4,0.4,0.4,0.44,27,11,20,58,45,32.2
knp_roan_in,Setaria sphacelata,g,n,li,rt,rt,rt,sg,rt,rt,l,l,l,l,l,l,56,25.5,36,20.5,40,35.6,0.9,0.5,1,0.6,0.5,0.7,77,78,90,120,110,95
knp_roan_out,Setaria sphacelata,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,30.3,27,40,18,21,27.26,0.7,0.7,1,0.7,0.8,0.78,100,100,110,85,90,97
knp_roan_in,Sorghum versicolor,g,n,li,sg,sg,rt,sg,sg,sg,l,l,l,l,l,l,20.5,17,15,13.5,31.5,19.5,0.6,0.8,0.8,1,1,0.84,70,83,110,115,120,99.6
knp_roan_out,Sorghum versicolor,g,n,li,rt,rt,sg,sg,sg,sg,l,l,l,l,l,l,18.5,73,32,36.5,23,36.6,0.6,1.1,1,0.8,0.8,0.86,58,75,83,80,73,73.8
knp_nkuhlu_full_out,Sporobolus nitens,g,n,li,rt,rt,,,,rt,m,m,,,,m,9,10.7,,,,9.85,0.6,0.7,,,,0.65,7,8,,,,7.5
pnr_in,Themeda triandra,g,n,li,lg,sg,sg,lg,lg,lg,h,l,l,h,h,h,24,19,12,14.5,13,16.5,0.5,0.4,0.3,0.3,0.3,0.36,100,66,72,63,88,77.8
knp_roan_in,Themeda triandra,g,n,li,sg,rt,rt,rt,sg,rf,l,l,l,l,l,l,22,19.5,16.5,25,10,18.6,0.3,0.3,0.3,0.4,0.3,0.32,46,110,65,84,85,78
knp_satara_in,Themeda triandra,g,n,li,rt,rt,rt,rt,rt,rt,l,l,l,l,l,l,6.8,33,19,21.5,15,19.06,0.5,1.5,0.4,0.4,0.3,0.62,82,60,83,79,45,69.8
knp_satara_out,Themeda triandra,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,15.5,13,19,15.3,23.5,17.26,0.5,0.6,0.3,0.3,0.4,0.42,70,58,48,80,78,66.8
pnr_out,Themeda triandra,g,n,li,rt,rt,rt,rt,,rt,m,l,m,l,,m,16,16,20,21,,18.25,0.3,0.5,0.4,1,,0.55,50,90,93,70,,75.75
pnr_in,Trachypogon spicatus,g,n,li,lg,lg,lg,lg,lg,lg,h,h,eh,eh,eh,eh,78,54,104,98,93,85.4,0.6,0.8,1,0.9,1,0.86,42,106,72,85,97,80.4
pnr_out,Trachypogon spicatus,g,n,li,lg,rt,rt,rt,,rt,h,m,m,l,,m,27,60,40,2.5,,32.375,0.5,0.5,0.4,0.5,,0.475,60,60,55,50,,56.25
addo_jack_out,Tragus berteronianus,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,4.5,4,2.5,4,3,3.6,0.3,0.3,0.5,0.5,0.4,0.4,16,10,9,12,8,11
knp_roan_out,Tragus berteronianus,g,n,li,sg,sg,,,,sg,l,l,,,,l,5.5,3.5,,,,4.5,0.4,0.3,,,,0.35,7,11,,,,9
knp_roan_out,Urochloa mosambicensis,g,n,li,at,at,at,at,at,at,l,l,l,l,l,l,13,20,10,14,14.5,14.3,1,1.4,1,1.2,1.6,1.24,15,59,61,40,50,45
knp_nkuhlu_full_in,Urochloa mosambicensis,g,n,li,sg,rt,sg,,,sg,l,l,l,,,l,12,10.7,14.3,,,12.33333333,1,1,1.2,,,1.066666667,49,57,55,,,53.66666667
knp_nkuhlu_full_out,Urochloa mosambicensis,g,n,li,sg,sg,sg,sg,sg,sg,l,l,l,l,l,l,17.5,7,7.1,11,12.4,11,1.1,1,0.8,0.8,0.8,0.9,37,40,17,10,13,23.4
knp_roan_in,Urochloa mosambicensis,g,n,li,sg,sg,sg,at,at,sg,l,l,l,l,l,l,7.5,12,13.5,17,20,14,0.6,0.8,0.8,1.2,1.1,0.9,40,80,82,74,80,71.2
knp_satara_out,Urochloa mosambicensis,g,n,li,sg,sg,sg,sg,sg,sg,l,l,m,l,l,l,10.3,16.5,13.5,30,16.6,17.38,0.7,0.9,1.2,1,1.2,1,43,34,57,40,42,43.2
pnr_out,Urochloa mosambicensis,g,n,li,sg,sg,sg,,,sg,l,l,l,,,l,12,17,16,,,15,1.3,1,0.5,,,0.933333333,65,50,60,,,58.33333333
addo_nyathi_full_in,Sansevieria hyacinthoides,f,n,li ,rf,rf,rf,rf,rf,rf,l,l,l,l,l,l,45,38,43,16,23,33,4,6,4,5,6,5,40,23,18,17,15,22.6
knp_roan_out,Ceratotheca triloba,f,n,lo,sf,sf,sf,sf,sf,sf,l,m,l,m,l,l,5,6,4,3.5,4.7,4.64,5.5,2.5,3,3.7,6.5,4.24,27,112,72,71,68,70
addo_jack_in,Crassula tetragona,f,n,lo,sf,sf,sf,sf,sf,sf,h,h,h,h,h,h,3.7,2.6,3,3.6,3.4,3.26,1.3,1.3,1.3,1.5,1.2,1.32,39,77,86,63,41,61.2
addo_nyathi_full_out,Dalechampia capensis,f,n,lo,crf,crf,crf,crf,,crf,m,l,l,l,,l,5.5,6,9,6,,6.625,5,4,6.5,2.5,,4.5,30,21,17,19,,21.75
pnr_out,Hibiscus pusillus,f,n,lo,sf,sf,rf,sf,,sf,l,l,l,m,,l,3,5.3,3.5,9,,5.2,2.5,3.7,2.5,9.5,,4.55,13,33,8,55,,27.25
addo_nyathi_full_out,Ipomea ficifolia,f,n,lo,clf,clf,clf,clf,clf,clf,l,l,l,l,l,l,9.5,8.5,4.5,7,5,6.9,6.6,6.5,4,6,4,5.42,31,36,27,29,33,31.2
knp_roan_out,Merremia palmata,f,n,lo,clf,clf,clf,clf,clf,clf,m,m,l,l,l,l,6.5,5.9,3.5,5,8,5.78,4.7,5.3,3,6,8,5.4,65,70,50,70,65,64
pnr_in,Nidorella sp. 1,f,n,lo,sf,sf,,,,sf,l,l,,,,l,2.7,5,,,,3.85,0.9,1.5,,,,1.2,73,52,,,,62.5
pnr_out,Nidorella sp. 1,f,n,lo,sf,sf,sf,sf,sf,sf,l,l,l,l,l,l,3,3,2.8,3,3.1,2.98,1.5,0.6,0.3,0.5,0.5,0.68,85,80,70,50,60,69
pnr_out,Parthenium hysterophorus,f,n,lo,sf,,,,,sf,l,,,,,l,8,,,,,8,4,,,,,4,70,,,,,70
addo_nyathi_full_in,Pelargonium peltatum ,f,n,lo,suclf,sucrf,suclf,suclf,sucrf,suclf,l,l,l,l,l,l,4.5,3.5,4.5,4.5,4.6,4.32,5.2,4.2,4,3.2,4.5,4.22,15,25,65,161,32,59.6
addo_jack_in,Pelargonium peltatum ,f,n,lo,crf,rf,rf,sf,rf,rf,m,m,m,m,m,m,3.5,4,4.5,4.5,5,4.3,3,3.5,3.5,4.5,5.5,4,11,8,10,20,15,12.8
knp_nkuhlu_full_out,Tricliceras schinzii,f,n,lo,rf,,,,,rf,m,,,,,m,12,,,,,12,1.6,,,,,1.6,20,,,,,20
knp_roan_in,Cardiospermum halicacabum,f,n,pac,crf,crf,clf,clf,crf,crf,l,l,l,l,l,l,4.5,7,3.5,3.6,6,4.92,4.7,9,3,4,6.5,5.44,15,30,70,65,30,42
knp_roan_out,Colophospermum mopane,t,n,pac,mss,mst,sss,mss,mst,mss,h,h,m,h,eh,h,8.7,10.4,7.5,10,7,8.72,8,8.2,7.2,9,7,7.88,150,273,320,130,340,242.6
knp_roan_in,Colophospermum mopane,t,n,pac,mst,mst,mst,sst,mst,mst,h,h,h,m,m,h,8,8.5,9.3,9.4,9.6,8.96,7,6.3,8.6,8,8.3,7.64,500,430,800,850,900,696
knp_roan_in,Commiphora africana,s,<2,pac,sss,sss,sss,sss,sss,sss,m,m,l,m,m,m,5.2,3.1,3.9,4.6,5.1,4.38,3.1,2,2.6,2,2.7,2.48,80,90,110,105,102,97.4
pnr_in,Commiphora africana,s,n,pac,mss,sss,sss,sss,sss,sss,m,m,m,l,m,m,4,5.5,4.5,3.2,3.5,4.14,4.5,3,4,2.2,3.5,3.44,170,162,120,126,210,157.6
knp_nkuhlu_full_out,Crotalaria podocarpa,f,n,pac,sf,rf,sf,sf,,sf,l,m,l,l,,l,2.7,3.5,2.5,4.3,,3.25,2.1,3.5,3,5.2,,3.45,41,36,13,17,,26.75
knp_satara_out,Eriosema sp. 1,f,n,pac,mf,mf,mf,mf,mf,mf,m,m,l,h,m,m,6,7,7.5,7.6,6.8,6.98,5,7,7,9,7.3,7.06,30.5,42,32.5,30,33,33.6
knp_nkuhlu_full_out,Fabaceae sp. 5,f,n,pac,sf,rf,,,,rf,l,m,,,,l,1.5,1,,,,1.25,4.5,1,,,,2.75,30,35,,,,32.5
knp_nkuhlu_full_out,Hibiscus sidiformis,f,n,pac,sf,sf,sf,sf,,sf,l,l,l,l,,l,2.5,1,3.5,4.1,,2.775,2.1,1.5,1.7,3.7,,2.25,27,25,10,30.5,,23.125
knp_nkuhlu_full_in,Lannea schweinfurthii,s,n,pac,sss,sss,,,,sss,h,eh,,,,eh,7,14.2,,,,10.6,4,8.7,,,,6.35,60,160,,,,110
knp_satara_out,Philenoptera violacea,s,n,pac,sss,mss,sst,sss,,sss,l,h,eh,eh,,eh,7.4,15.3,16.2,16.5,,13.85,3.7,9.5,15,10.3,,9.625,80,166,340,167,,188.25
pnr_out,Ptycholobium plicatum,f,n,pac,crf,crf,crf,rf,crf,crf,l,l,m,m,m,m,4,3.5,2.5,3,2.5,3.1,4,3.4,3,3,3,3.28,11,32,13,24,8,17.6
addo_nyathi_full_out,Rhoicissus digitata,f,n,pac,clf,clf,clf,clf,clf,clf,l,l,l,l,l,l,10,8,8.5,8,8,8.5,8,7.5,8,10.5,14,9.6,175,96,34,26,60,78.2
addo_nyathi_full_in,Rhoicissus digitata,f,n,pac,crf,crf,crf,clf,clf,crf,l,l,l,l,l,l,13,9,15,8,10,11,9,7,12,10,7,9,30,13,16,330,44,86.6
